Sample#, X-Step size = 11.0000, Y-Step size = 11.0000 ; 
#942, 7, 51 ; 
#943, 8, 50 ; 
#944, 10, 50 ; 
#945, 11, 48 ; 
#946, 10, 47 ; 
#947, 12, 45 ; 
#948, 12, 44 ; 
#949, 10, 43 ; 
#950, 8, 42 ; 
#951, 5, 40 ; 
#952, 1, 42 ; 
#953, -5, 43 ; 
#954, -10, 46 ; 
#955, -12, 49 ; 
#956, -17, 53 ; 
#957, -22, 55 ; 
#958, -26, 58 ; 
#959, -30, 59 ; 
#960, -31, 62 ; 
#961, -32, 63 ; 
#962, -32, 63 ; 
#963, -31, 62 ; 
#964, -30, 61 ; 
#965, -28, 59 ; 
#966, -26, 59 ; 
#967, -22, 59 ; 
#968, -21, 60 ; 
#969, -20, 59 ; 
#970, -18, 56 ; 
#971, -17, 54 ; 
#972, -16, 54 ; 
#973, -15, 54 ; 
#974, -15, 54 ; 
#975, -14, 53 ; 
#976, -15, 52 ; 
#977, -12, 51 ; 
#978, -10, 53 ; 
#979, -9, 56 ; 
#980, -10, 58 ; 
#981, -11, 59 ; 
#982, -11, 60 ; 
#983, -11, 60 ; 
#984, -13, 59 ; 
#985, -14, 57 ; 
#986, -16, 55 ; 
#987, -18, 52 ; 
#988, -20, 49 ; 
#989, -20, 47 ; 
#990, -21, 45 ; 
#991, -21, 43 ; 
#992, -22, 42 ; 
#993, -22, 43 ; 
#994, -23, 45 ; 
#995, -24, 46 ; 
#996, -24, 48 ; 
#997, -23, 50 ; 
#998, -23, 52 ; 
#999, -22, 54 ; 
#1000, -21, 57 ; 
#1001, -19, 58 ; 
#1002, -19, 59 ; 
#1003, -17, 60 ; 
#1004, -15, 60 ; 
#1005, -15, 61 ; 
#1006, -16, 61 ; 
#1007, -17, 61 ; 
#1008, -17, 61 ; 
#1009, -20, 62 ; 
#1010, -23, 62 ; 
#1011, -25, 63 ; 
#1012, -27, 63 ; 
#1013, -28, 63 ; 
#1014, -29, 64 ; 
#1015, -28, 66 ; 
#1016, -26, 66 ; 
#1017, -27, 66 ; 
#1018, -25, 65 ; 
#1019, -23, 66 ; 
#1020, -21, 66 ; 
#1021, -19, 67 ; 
#1022, -18, 69 ; 
#1023, -14, 68 ; 
#1024, -9, 60 ; 
